key,baseline_present,vcomp_present
239,true,true
240,false,false
241,false,true
242,true,true
243,true,true
244,true,false
245,false,true
246,false,true
247,false,false
248,false,true
249,false,true
250,true,true
251,true,false
252,true,true
253,true,true
254,false,true
255,true,false
256,true,true
257,true,true
258,false,false
259,true,true
260,false,true
261,false,true
262,false,false
263,false,true
264,false,true
265,true,false
266,true,true
267,true,true
268,false,true
269,false,false
270,true,true
271,true,true
272,true,false
273,true,true
274,true,true
275,false,true
276,true,false
277,false,true
278,false,true
279,true,false
280,false,true
281,true,true
282,true,true
283,false,false
284,true,true
285,true,true
286,true,true
287,true,false
288,true,true
289,false,true
290,true,false
291,true,true
292,true,true
293,true,true
294,true,false
295,true,true
296,false,true
297,true,false
298,false,true
299,true,true
300,false,true
301,true,false
302,true,true
303,true,true
304,false,false
305,true,true
306,true,true
307,true,true
308,true,false
309,true,true
310,true,true
311,true,true
312,false,false
313,true,true
314,false,true
315,true,false
316,false,true
317,false,true
318,true,true
319,false,false
320,true,true
321,false,true
322,false,false
323,true,true
324,true,true
325,true,true
326,true,false
327,false,true
328,true,true
329,true,false
330,false,true
331,true,true
332,true,true
333,false,false
334,true,true
335,true,true
336,true,false
337,true,true
338,true,true
339,true,true
340,false,false
341,false,true
342,true,true
343,true,true
344,true,false
345,true,true
346,false,true
347,true,false
348,true,true
349,false,true
350,false,true
351,true,false
352,true,true
353,false,true
354,false,false
355,true,true
356,false,true
357,true,true
358,true,false
359,true,true
360,true,true
361,true,false
362,false,true
363,true,true
364,false,true
365,false,false
366,false,true
367,true,true
368,false,false
369,false,true
370,true,true
371,true,true
372,true,false
373,false,true
374,false,true
375,true,true
376,true,false
377,true,true
378,true,true
379,true,false
380,false,true
381,true,true
382,false,true
383,true,false
384,true,true
385,false,true
386,true,false
387,false,true
388,true,true
389,true,true
390,true,false
391,true,true
392,true,true
393,false,false
394,true,true
395,false,true
396,false,true
397,false,false
398,false,true
399,false,true
400,true,true
401,false,false
402,false,true
403,true,true
404,false,false
405,false,true
406,true,true
407,false,true
408,true,false
409,true,true
410,true,true
411,false,false
412,true,true
413,true,true
414,true,true
415,true,false
416,true,true
417,false,true
418,false,false
419,true,true
420,false,true
421,true,true
422,true,false
423,false,true
424,false,true
425,true,false
426,true,true
427,true,true
428,true,true
429,true,false
430,true,true
431,false,true
432,false,true
433,true,false
434,true,true
435,true,true
436,true,false
437,true,true
438,true,true
439,true,true
440,true,false
441,true,true
442,true,true
443,true,false
444,false,true
445,true,true
446,true,true
447,true,false
448,false,true
449,true,true
450,false,false
451,true,true
452,false,true
453,true,true
454,false,false
455,true,true
456,false,true
457,false,false
458,false,true
459,false,true
460,true,true
461,true,false
462,true,true
463,true,true
464,true,true
465,true,false
466,true,true
467,false,true
468,true,false
469,false,true
470,true,true
471,true,true
472,true,false
473,true,true
474,false,true
475,true,false
476,true,true
477,true,true
478,false,true
479,true,false
480,true,true
481,false,true
482,true,false
483,false,true
484,false,true
485,true,true
486,true,false
487,false,true
488,false,true
489,true,true
490,false,false
491,true,true
492,true,true
493,true,false
494,true,true
495,true,true
496,true,true
497,true,false
498,false,true
499,true,true
500,false,false
501,true,true
502,true,true
503,false,true
504,true,false
505,false,true
506,false,true
507,true,false
508,false,true
509,false,true
510,true,true
511,true,false
512,true,true
513,false,true
514,true,false
515,false,true
516,false,true
517,true,true
518,false,false
519,true,true
520,true,true
521,true,true
522,true,false
523,true,true
524,false,true
525,true,false
526,true,true
527,true,true
528,false,true
529,true,false
530,true,true
531,true,true
532,true,true
533,true,true
534,true,false
535,false,true
536,false,true
537,false,false
538,true,true
539,true,true
540,true,false
541,true,true
542,true,true
543,true,false
544,true,true
545,true,true
546,true,false
547,true,true
548,true,true
549,true,false
550,false,true
551,true,true
552,true,false
553,false,true
554,true,true
555,true,false
556,true,true
557,true,true
558,false,false
559,false,true
560,false,true
561,false,false
562,true,true
563,false,true
564,true,false
565,false,true
566,true,true
567,false,false
568,true,true
569,false,false
570,false,true
571,true,true
572,false,false
573,true,true
574,true,true
575,false,false
576,false,true
577,false,true
578,true,false
579,false,true
580,true,true
581,false,false
582,true,true
583,false,true
584,true,false
585,false,true
586,true,true
587,true,false
588,true,true
589,true,true
590,true,false
591,false,true
592,true,true
593,false,false
594,true,true
595,false,true
596,false,false
597,false,true
598,true,true
599,false,false
600,true,true
601,true,true
602,true,false
603,true,true
604,false,true
605,true,false
606,true,true
607,false,true
608,true,false
609,false,true
610,false,false
611,true,true
612,false,true
613,false,false
614,false,true
615,true,true
616,true,false
617,false,true
618,true,true
619,true,false
620,true,true
621,true,true
622,false,false
623,false,true
624,false,true
625,true,false
626,true,true
627,true,true
628,true,false
629,false,true
630,false,true
631,true,false
632,false,true
633,true,true
634,false,false
635,true,true
636,false,true
637,false,false
638,false,true
639,true,true
640,true,false
641,false,true
642,true,true
643,false,false
644,true,true
645,true,true
646,false,false
647,false,true
648,true,true
649,false,false
650,false,true
651,false,false
652,false,true
653,true,true
654,false,false
655,false,true
656,true,true
657,true,false
658,false,true
659,false,true
660,true,false
661,true,true
662,true,true
663,false,false
664,true,true
665,true,true
666,true,false
667,true,true
668,false,true
669,true,false
670,false,true
671,true,true
672,true,false
673,false,true
674,true,true
675,true,false
676,true,true
677,true,true
678,true,false
679,true,true
680,true,true
681,false,false
682,true,true
683,false,true
684,true,false
685,true,true
686,true,true
687,false,false
688,true,true
689,false,true
690,false,false
691,true,true
692,false,false
693,true,true
694,false,true
695,false,false
696,true,true
697,true,true
698,true,false
699,false,true
700,true,true
701,true,false
702,true,true
703,true,true
704,true,false
705,true,true
706,true,true
707,false,false
708,true,true
709,true,true
710,false,false
711,true,true
712,true,true
713,false,false
714,true,true
715,true,true
716,true,false
717,true,true
718,true,true
719,false,false
720,true,true
721,true,true
722,true,false
723,true,true
724,true,true
725,true,false
726,true,true
727,false,true
728,true,false
729,true,true
730,true,true
731,true,false
732,true,true
733,true,false
734,true,true
735,false,true
736,true,false
737,true,true
738,false,true
739,true,false
740,false,true
741,true,true
742,false,false
743,true,true
744,true,true
745,false,false
746,false,true
747,true,true
748,false,false
749,false,true
750,true,true
751,true,false
752,false,true
753,false,true
754,true,false
755,false,true
756,true,true
757,true,false
758,false,true
759,true,true
760,false,false
761,true,true
762,true,true
763,false,false
764,true,true
765,true,true
766,true,false
767,false,true
768,false,true
769,false,false
770,true,true
771,true,true
772,true,false
773,false,true
774,true,false
775,true,true
776,false,true
777,true,false
778,false,true
779,true,true
780,true,false
781,false,true
782,true,true
783,true,false
784,false,true
785,false,true
786,false,false
787,true,true
788,true,true
789,true,false
790,true,true
791,true,true
792,true,false
793,true,true
794,true,true
795,false,false
796,true,true
797,false,true
798,true,false
799,true,true
800,true,true
801,true,false
802,true,true
803,true,true
804,true,false
805,false,true
806,true,true
807,false,false
808,false,true
809,true,true
810,true,false
811,true,true
812,false,true
813,false,false
814,true,true
815,false,false
816,true,true
817,false,true
818,true,false
819,true,true
820,true,true
821,true,false
822,true,true
823,true,true
824,true,false
825,true,true
826,true,true
827,false,false
828,true,true
829,true,true
830,false,false
831,true,true
832,true,true
833,true,false
834,false,true
835,true,true
836,false,false
837,false,true
838,true,true
839,true,false
840,false,true
841,true,true
842,true,false
843,true,true
844,true,true
845,true,false
846,true,true
847,true,true
848,false,false
849,true,true
850,true,true
851,false,false
852,true,true
853,true,true
854,true,false
855,false,true
856,true,false
857,true,true
858,true,true
859,true,false
860,false,true
861,true,true
862,true,false
863,true,true
864,false,true
865,false,false
866,true,true
867,true,true
868,false,false
869,true,true
870,true,true
871,true,false
872,true,true
873,true,true
874,false,false
875,true,true
876,false,true
877,true,false
878,true,true
879,false,true
880,true,false
881,true,true
882,false,true
883,true,false
884,false,true
885,true,true
886,false,false
887,true,true
888,true,true
889,true,false
890,false,true
891,false,true
892,false,false
893,true,true
894,true,true
895,true,false
896,false,true
897,false,false
898,true,true
899,true,true
900,false,false
901,true,true
902,false,true
903,true,false
904,false,true
905,true,true
906,true,false
907,true,true
908,false,true
909,true,false
910,false,true
911,true,true
912,false,false
913,true,true
914,false,true
915,false,false
916,true,true
917,true,true
918,false,false
919,true,true
920,false,true
921,false,false
922,true,true
923,true,true
924,true,false
925,false,true
926,false,true
927,true,false
928,true,true
929,false,true
930,false,false
931,true,true
932,false,true
933,false,false
934,false,true
935,false,true
936,false,false
937,true,true
938,true,false
939,true,true
940,true,true
941,true,false
942,true,true
943,false,true
944,true,false
945,false,true
946,true,true
947,false,false
948,true,true
949,false,true
950,true,false
951,false,true
952,false,true
953,true,false
954,true,true
955,false,true
956,false,false
957,true,true
958,false,true
959,false,false
960,true,true
961,true,true
962,true,false
963,true,true
964,false,true
965,true,false
966,true,true
967,true,true
968,false,false
969,false,true
970,true,true
971,true,false
972,false,true
973,false,true
974,false,false
975,false,true
976,true,true
977,true,false
978,true,true
979,false,false
980,true,true
981,true,true
982,true,false
983,true,true
984,true,true
985,true,false
986,false,true
987,false,true
988,false,false
989,true,true
990,false,true
991,true,false
992,true,true
993,false,true
994,true,false
995,false,true
996,true,true
997,false,false
998,false,true
999,true,true
